"","game_id","game_date","team","FGA_2","FGM_2","FGA_3","FGM_3","FTA","FTM","AST","BLK","STL","TOV","TOV_team","DREB","OREB","F_tech","F_personal","team_score","opponent_team_score","largest_lead","notD1_incomplete","OT_length_min_tot","rest_days","attendance","tz_dif_H_E","prev_game_dist","home_away","home_away_NS","travel_dist"
"623","game_2022_312","2021-11-13","claflin_panthers","45","11","18","7","20","14","6","6","9","28","1","31","16","0","24","57","73","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"624","game_2022_312","2021-11-13","maryland_eastern_shore_hawks","52","22","19","5","28","14","14","4","16","21","0","31","20","1","15","73","57","16","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"629","game_2022_315","2021-11-13","valley_forge_patriots","36","5","14","1","4","2","1","3","4","26","3","16","4","0","15","15","102","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"630","game_2022_315","2021-11-13","mount_st_marys_mountaineers","45","29","25","10","16","14","20","12","14","7","0","38","14","0","10","102","15","87","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"631","game_2022_316","2021-11-13","champion_christian_tigers","31","10","30","11","17","13","12","1","5","19","0","23","8","0","16","66","82","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"632","game_2022_316","2021-11-13","tarleton_state_texans","40","20","28","9","21","15","19","3","13","18","1","33","20","2","16","82","66","17","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"673","game_2022_337","2021-11-14","montevallo_falcons","37","18","25","3","12","5","9","0","11","23","3","24","17","0","11","50","75","8","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"674","game_2022_337","2021-11-14","samford_bulldogs","40","20","25","9","10","8","21","2","12","17","1","26","12","0","18","75","50","25","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"687","game_2022_344","2021-11-14","alcorn_state_lady_braves","39","16","14","8","13","7","17","1","4","28","0","22","11","0","23","63","86","4","TRUE",NA,NA,"4541","0","1070","away","-1","276"
"688","game_2022_344","2021-11-14","mississippi_state_bulldogs","46","26","29","7","27","13","17","5","17","17","0","20","27","0","19","86","63","31","FALSE",NA,"2","4541","0","0","home","1","0"
"699","game_2022_350","2021-11-14","quincy_hawks","43","16","23","6","4","3","14","1","5","22","2","25","16","0","16","53","93","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"700","game_2022_350","2021-11-14","cleveland_state_vikings","52","28","19","7","22","16","12","8","13","9","0","28","15","0","11","93","53","43","FALSE",NA,"1",NA,NA,NA,"home","0",NA
"755","game_2022_378","2021-11-14","huston_tillotson_rams","41","15","14","3","11","9","5","7","6","22","2","19","10","0","19","48","82","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"756","game_2022_378","2021-11-14","texas_state_bobcats","42","22","14","6","31","20","21","4","14","14","0","26","13","0","10","82","48","37","FALSE",NA,"5",NA,NA,NA,"home","0",NA
"767","game_2022_384","2021-11-14","mid_atlantic_christian_mustangs","26","9","21","5","7","5","7","0","4","31","2","22","5","0","16","38","109","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"768","game_2022_384","2021-11-14","high_point_panthers","37","22","37","18","18","11","32","5","21","8","0","29","15","0","13","109","38","73","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"773","game_2022_387","2021-11-14","oakland_city_mighty_oaks","32","10","25","8","28","15","9","2","6","26","3","23","14","2","25","59","100","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"774","game_2022_387","2021-11-14","evansville_purple_aces","40","25","22","9","30","23","25","9","11","15","0","32","9","1","29","100","59","45","FALSE",NA,"5",NA,NA,NA,"home","0",NA
"777","game_2022_389","2021-11-14","life_university_running_eagles","38","10","17","5","20","12","4","1","4","20","2","28","9","0","13","47","69","1","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"778","game_2022_389","2021-11-14","georgia_state_panthers","40","20","25","6","15","11","18","5","5","12","1","33","11","0","24","69","47","30","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"779","game_2022_390","2021-11-14","randolph_college_wildcats","28","9","22","3","4","4","6","1","6","28","2","18","6","0","17","31","83","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"780","game_2022_390","2021-11-14","william_mary_tribe","45","27","14","5","19","14","25","3","11","16","0","32","11","0","10","83","31","52","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"787","game_2022_394","2021-11-15","cs_dominguez_hills_toros","26","9","27","9","32","22","8","2","4","15","0","28","16","0","17","67","72","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"788","game_2022_394","2021-11-15","cal_state_northridge_matadors","37","20","28","7","15","11","15","6","8","11","0","22","11","0","22","72","67","16","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"797","game_2022_399","2021-11-15","lsu_shreveport_pilots","25","9","19","2","15","11","7","4","1","28","0","25","9","0","18","35","74","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"798","game_2022_399","2021-11-15","se_louisiana_lady_lions","44","17","18","9","21","13","20","4","17","13","0","26","15","0","18","74","35","41","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"821","game_2022_411","2021-11-15","cumberland_ky_indians","35","13","26","5","24","15","8","3","8","14","2","12","12","2","26","56","94","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"822","game_2022_411","2021-11-15","murray_state_racers","46","23","13","7","33","27","15","3","4","21","2","36","18","0","15","94","56","41","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"829","game_2022_415","2021-11-15","edward_waters_tigers","41","16","18","5","29","17","9","2","10","24","1","25","19","0","20","64","69","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"830","game_2022_415","2021-11-15","jacksonville_dolphins","58","27","5","0","26","15","9","4","15","19","0","25","14","0","23","69","64","11","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"831","game_2022_416","2021-11-15","mars_hill_mountain_lions","39","10","19","4","18","6","6","1","12","19","0","20","7","0","15","38","71","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"832","game_2022_416","2021-11-15","unc_asheville_bulldogs","47","25","16","5","11","6","10","1","11","26","0","42","15","0","21","71","38","35","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"833","game_2022_417","2021-11-15","upper_iowa_peacocks","38","11","23","7","13","10","12","0","4","14","0","26","12","0","23","53","83","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"834","game_2022_417","2021-11-15","bradley_braves","39","23","21","8","22","13","18","4","7","10","0","29","8","0","12","83","53","31","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"835","game_2022_418","2021-11-15","oregon_tech_hustlin_owls","38","17","13","1","14","11","7","6","4","27","1","30","10","0","14","48","83","1","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"836","game_2022_418","2021-11-15","boise_state_broncos","48","21","25","11","16","8","18","6","12","9","0","23","15","0","16","83","48","38","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"839","game_2022_420","2021-11-15","auburn_montgomery_senators","31","17","12","3","12","6","9","4","2","27","3","29","9","0","14","49","70","9","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"840","game_2022_420","2021-11-15","south_alabama_jaguars","39","19","22","8","15","8","11","1","9","10","3","15","9","0","12","70","49","22","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"849","game_2022_425","2021-11-16","shorter_hawks","49","11","21","6","12","10","4","1","3","8","0","27","14","0","14","50","73","5","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"850","game_2022_425","2021-11-16","lipscomb_bisons","49","26","19","5","9","6","10","5","5","8","1","41","11","0","12","73","50","26","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"857","game_2022_429","2021-11-16","sacramento_state_hornets","37","21","22","6","19","16","16","3","12","11","1","28","9","0","10","76","53","25","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"858","game_2022_429","2021-11-16","sonoma_st_cossacks","34","12","20","8","11","5","12","2","5","16","0","24","8","0","13","53","76","1","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"869","game_2022_435","2021-11-16","houston_christian_huskies","38","15","17","7","30","18","8","7","11","22","0","29","15","0","16","69","43","29","FALSE",NA,"7",NA,NA,NA,"home","0",NA
"870","game_2022_435","2021-11-16","texas_wesleyan_rams","39","10","22","4","17","11","6","0","10","23","2","24","15","0","18","43","69","4","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"885","game_2022_443","2021-11-16","erskine_flying_fleet","20","7","21","0","20","10","0","2","8","21","6","20","8","0","17","24","74","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"886","game_2022_443","2021-11-16","coastal_carolina_chanticleers","42","18","20","9","16","11","18","1","6","13","1","30","17","0","19","74","24","50","FALSE",NA,"7",NA,NA,NA,"home","0",NA
"905","game_2022_453","2021-11-16","louisiana_christian_wildcats","19","8","30","9","22","15","7","0","7","19","0","24","9","0","29","58","71","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"906","game_2022_453","2021-11-16","ul_monroe_warhawks","47","20","14","3","32","22","10","2","10","12","0","25","18","0","23","71","58","15","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"907","game_2022_454","2021-11-16","pennsylvania_quakers","63","33","11","4","16","13","15","5","12","6","0","32","16","0","6","91","55","36","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"908","game_2022_454","2021-11-16","kings_pa_monarchs","25","7","36","12","6","5","14","0","3","18","1","24","9","0","13","55","91","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"917","game_2022_459","2021-11-16","bryn_athyn_lions","28","5","28","4","10","6","4","0","8","19","1","14","14","0","13","28","86","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"918","game_2022_459","2021-11-16","maryland_eastern_shore_hawks","47","28","12","6","17","12","25","6","10","17","1","35","15","0","14","86","28","60","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"921","game_2022_461","2021-11-16","cal_lutheran_kingsmen","47","13","12","2","9","4","6","1","9","32","3","27","17","0","23","36","79","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"922","game_2022_461","2021-11-16","uc_riverside_highlanders","45","23","19","4","29","21","13","2","21","15","0","30","14","0","19","79","36","46","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"923","game_2022_462","2021-11-16","paul_quinn_tigers","42","10","14","4","26","14","11","0","7","17","0","27","12","0","21","46","70","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"924","game_2022_462","2021-11-16","tarleton_state_texans","47","22","19","4","26","14","18","7","7","11","1","30","17","0","20","70","46","28","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"951","game_2022_476","2021-11-17","westcliff_warriors","41","10","18","2","11","6","7","3","4","20","1","20","14","0","9","32","91","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"952","game_2022_476","2021-11-17","uc_san_diego_tritons","47","28","19","10","13","5","29","11","12","10","0","34","12","0","17","91","32","62","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"963","game_2022_482","2021-11-17","furman_paladins","64","30","18","6","33","23","20","5","18","17","0","28","32","0","15","101","58","46","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"964","game_2022_482","2021-11-17","converse","39","14","17","7","13","9","15","5","9","30","0","18","10","0","25","58","101","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"965","game_2022_483","2021-11-17","st_thomas_tx_celts","30","10","24","2","18","12","5","1","5","24","1","21","10","0","20","38","79","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"966","game_2022_483","2021-11-17","texas_am_corpus_christi_islanders","43","23","21","5","25","18","19","4","12","15","0","36","18","0","17","79","38","41","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"977","game_2022_489","2021-11-17","abilene_christian_wildcats","28","15","38","16","11","10","22","2","11","12","0","27","11","0","18","88","53","39","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"978","game_2022_489","2021-11-17","angelo_state_rams","38","13","16","3","21","18","10","0","5","20","2","24","12","0","12","53","88","1","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"979","game_2022_490","2021-11-17","university_of_science_and_arts_drovers","48","22","8","2","30","23","14","5","7","25","0","26","11","0","26","73","88","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"980","game_2022_490","2021-11-17","sam_houston_bearkats","54","26","14","4","33","24","14","4","15","18","0","23","17","0","24","88","73","17","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"1043","game_2022_522","2021-11-17","campbell_fighting_camels","45","32","29","11","28","20","30","6","14","11","0","31","20","0","15","117","33","84","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"1044","game_2022_522","2021-11-17","st_andrews_knights","32","8","18","4","7","5","5","1","4","32","2","15","7","0","25","33","117","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1047","game_2022_524","2021-11-17","hofstra_pride","35","13","28","4","23","14","13","2","10","12","0","23","18","0","22","52","51","4","FALSE",NA,"7",NA,NA,NA,"home","0",NA
"1048","game_2022_524","2021-11-17","molloy_lions","26","9","14","7","22","12","10","8","6","24","2","31","7","0","19","51","52","5","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1049","game_2022_525","2021-11-17","stanislaus_state_warriors","50","21","18","5","24","14","7","3","5","16","2","36","15","0","15","71","88","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1050","game_2022_525","2021-11-17","fresno_state_bulldogs","47","18","26","12","22","16","14","9","10","5","0","29","11","0","14","88","71","21","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"1051","game_2022_526","2021-11-17","brewton_parker_wildcats","38","13","23","1","22","11","4","3","4","18","0","27","16","0","16","40","80","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1052","game_2022_526","2021-11-17","georgia_state_panthers","42","19","26","10","17","12","18","6","8","17","2","35","15","0","19","80","40","41","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1053","game_2022_527","2021-11-17","texas_lutheran_bulldogs","31","14","21","5","17","7","13","2","7","15","1","16","9","0","28","50","65","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1054","game_2022_527","2021-11-17","incarnate_word_cardinals","36","15","13","4","40","23","11","5","9","20","1","29","20","0","19","65","50","19","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"1065","game_2022_533","2021-11-18","north_florida_ospreys","40","18","20","8","26","23","15","3","10","17","0","35","12","0","12","83","59","25","FALSE",NA,"5",NA,NA,NA,"home","0",NA
"1066","game_2022_533","2021-11-18","webber_international_warriors","42","19","22","3","16","12","5","3","9","21","0","22","9","0","21","59","83","5","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1085","game_2022_543","2021-11-18","new_orleans_privateers","36","12","22","6","30","21","10","2","11","15","2","23","17","0","20","63","58","8","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1086","game_2022_543","2021-11-18","xavier_la_gold_rush","38","13","15","4","22","20","13","1","8","21","1","26","14","1","24","58","63","7","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1089","game_2022_545","2021-11-18","south_dakota_coyotes","38","22","30","9","14","12","20","3","12","15","0","33","14","0","14","83","35","51","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"1090","game_2022_545","2021-11-18","briar_cliff_chargers","33","6","21","6","10","5","6","1","7","25","1","22","10","0","16","35","83","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1141","game_2022_571","2021-11-18","john_carroll_blue_streaks","37","11","11","4","12","6","10","4","4","28","1","23","8","0","15","40","101","4","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1142","game_2022_571","2021-11-18","kent_state_golden_flashes","53","25","31","15","12","6","23","5","15","10","0","24","24","0","13","101","40","60","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"1143","game_2022_572","2021-11-18","grace_christian_university_tigers","33","10","20","4","17","13","4","0","8","29","0","12","9","0","14","45","133","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1144","game_2022_572","2021-11-18","eastern_michigan_eagles","53","39","28","15","14","10","31","6","26","11","0","33","19","0","14","133","45","88","FALSE",NA,"9",NA,NA,NA,"home","0",NA
"1159","game_2022_580","2021-11-19","southern_wesleyan_warriors","39","12","27","9","8","4","10","1","8","23","0","21","7","0","14","55","106","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1160","game_2022_580","2021-11-19","wofford_terriers","44","27","29","14","16","10","24","1","11","18","0","33","11","0","11","106","55","51","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"1161","game_2022_581","2021-11-19","louisiana_christian_university_wildcats","30","10","22","3","10","7","10","4","9","31","0","28","11","0","21","36","78","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1162","game_2022_581","2021-11-19","northwestern_state_lady_demons","58","25","23","4","22","16","16","4","15","14","0","30","25","0","14","78","36","43","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"1197","game_2022_599","2021-11-19","lenoir_rhyne_bears","40","16","11","1","17","9","6","3","7","21","3","21","8","0","14","44","75","5","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1198","game_2022_599","2021-11-19","radford_highlanders","39","20","20","9","12","8","17","6","9","19","0","27","12","0","23","75","44","31","FALSE",NA,"5",NA,NA,NA,"home","0",NA
"1199","game_2022_600","2021-11-19","columbia_international_columbia_intl","21","9","20","6","6","4","8","2","6","31","2","20","4","0","10","40","81","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1200","game_2022_600","2021-11-19","south_carolina_upstate_spartans","49","28","25","7","6","4","23","1","16","15","0","22","20","0","12","81","40","47","FALSE",NA,"9",NA,NA,NA,"home","0",NA
"1201","game_2022_601","2021-11-19","notre_dame_of_maryland_university_gators","32","8","10","2","22","13","8","3","6","36","0","19","9","0","12","35","87","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1202","game_2022_601","2021-11-19","morgan_state_lady_bears","56","27","21","7","17","12","23","2","24","21","0","28","26","0","21","87","35","56","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"1203","game_2022_602","2021-11-19","nicholls_colonels","41","20","16","5","23","18","14","4","11","17","0","32","9","0","18","73","53","28","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1204","game_2022_602","2021-11-19","spring_hill_badgers","45","17","15","3","19","10","8","0","6","20","0","23","12","0","21","53","73","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1265","game_2022_633","2021-11-20","antelope_valley","36","6","27","6","16","7","6","1","6","19","0","29","10","0","10","37","73","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1266","game_2022_633","2021-11-20","utah_tech_trailblazers","34","18","35","11","6","4","18","4","10","18","0","45","12","0","16","73","37","34","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"1347","game_2022_674","2021-11-20","ohio_bobcats","36","22","24","8","36","22","12","4","16","20","1","32","15","0","20","90","46","49","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"1348","game_2022_674","2021-11-20","mercyhurst_lakers","27","9","22","6","16","10","10","0","7","27","2","23","4","0","27","46","90","2","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1355","game_2022_678","2021-11-20","stephen_f_austin_ladyjacks","75","46","27","10","19","15","35","7","25","5","0","32","26","0","10","137","46","94","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"1356","game_2022_678","2021-11-20","arlington_baptist_patriots","49","18","9","2","6","4","12","2","2","35","1","22","8","0","15","46","137","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1357","game_2022_679","2021-11-20","tarleton_state_texans","48","27","21","6","22","15","22","8","18","11","0","31","18","0","11","87","44","46","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"1358","game_2022_679","2021-11-20","howard_payne_yellow_jackets","31","10","25","6","10","6","7","1","4","23","0","21","11","0","15","44","87","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1383","game_2022_692","2021-11-21","fisher_college_eagles","27","7","17","3","0","0","6","0","6","30","0","24","4","0","15","23","72","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1384","game_2022_692","2021-11-21","new_hampshire_wildcats","41","23","29","5","18","11","20","2","19","13","0","30","22","0","8","72","23","51","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"1393","game_2022_697","2021-11-21","evergreen_state_geoducks","39","10","18","2","16","12","5","6","5","14","1","18","8","0","7","38","101","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1394","game_2022_697","2021-11-21","eastern_washington_eagles","42","23","34","17","6","4","22","4","10","13","0","38","18","0","14","101","38","65","FALSE",NA,"5",NA,NA,NA,"home","0",NA
"1407","game_2022_704","2021-11-21","lenoir_rhyne_bears","27","9","17","6","12","11","6","4","10","28","0","23","8","0","15","47","68","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1408","game_2022_704","2021-11-21","unc_greensboro_spartans","55","23","16","5","18","7","15","5","10","15","1","20","24","0","12","68","47","24","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1451","game_2022_726","2021-11-21","kentucky_state_thorobreds","44","21","13","3","16","8","18","0","13","38","1","27","12","0","20","59","96","1","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1452","game_2022_726","2021-11-21","western_kentucky_lady_toppers","41","25","31","10","33","16","28","5","26","21","0","27","17","0","16","96","59","46","FALSE",NA,"6",NA,NA,NA,"home","0",NA
"1453","game_2022_727","2021-11-21","midway_university_midway","27","11","22","6","16","13","8","4","10","33","0","31","8","0","15","53","72","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1454","game_2022_727","2021-11-21","morehead_state_eagles","62","26","24","4","13","8","18","5","20","17","0","26","28","0","14","72","53","22","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"1477","game_2022_739","2021-11-22","erskine_flying_fleet","19","6","20","2","21","9","4","3","11","34","7","22","10","0","9","27","63","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1478","game_2022_739","2021-11-22","furman_paladins","45","18","23","6","11","9","13","2","17","25","1","28","23","0","18","63","27","41","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"1493","game_2022_747","2021-11-22","app_state_mountaineers","34","14","40","12","27","17","16","3","9","16","1","32","21","0","21","81","49","34","FALSE",NA,"5",NA,NA,NA,"home","0",NA
"1494","game_2022_747","2021-11-22","winston_salem_rams","35","11","15","5","22","12","9","2","7","26","2","34","7","0","23","49","81","5","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1507","game_2022_754","2021-11-22","eastern_illinois_panthers","45","25","24","7","19","8","25","1","18","17","0","18","18","0","20","79","60","20","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"1508","game_2022_754","2021-11-22","oakland_city_mighty_oaks","25","15","15","6","15","12","10","1","9","30","3","22","2","0","17","60","79","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1511","game_2022_756","2021-11-22","centenary_la_gentlemen","30","7","19","5","12","7","9","2","9","23","0","19","9","0","13","36","70","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1512","game_2022_756","2021-11-22","ul_monroe_warhawks","45","22","17","6","8","8","16","3","11","19","0","29","14","0","14","70","36","34","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"1513","game_2022_757","2021-11-22","chadron_state_eagles","38","17","15","4","6","2","10","2","5","14","0","18","5","0","11","48","71","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1514","game_2022_757","2021-11-22","wyoming_cowgirls","50","27","16","2","14","11","16","2","9","12","0","29","21","0","9","71","48","28","FALSE",NA,"4",NA,NA,NA,"home","0",NA
"1517","game_2022_759","2021-11-22","holy_cross_crusaders","50","27","19","6","11","7","21","5","8","18","0","39","21","0","11","79","36","45","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1518","game_2022_759","2021-11-22","connecticut_college_camels","34","7","27","6","10","4","7","2","10","18","1","18","11","0","8","36","79","4","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1527","game_2022_764","2021-11-22","nelson_lions","34","10","33","10","14","9","12","2","10","19","3","17","6","0","15","59","120","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1528","game_2022_764","2021-11-22","southern_utah_thunderbirds","65","44","28","7","14","11","29","7","11","13","1","44","27","0","11","120","59","63","FALSE",NA,"2",NA,NA,NA,"home","0",NA
"1529","game_2022_765","2021-11-22","eastern_kentucky_colonels","61","41","16","5","28","23","21","6","22","10","0","23","13","0","17","120","53","70","FALSE",NA,"5",NA,NA,NA,"home","0",NA
"1530","game_2022_765","2021-11-22","union_ky_bulldogs","37","15","23","4","13","11","12","3","3","37","0","19","19","0","28","53","120","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1537","game_2022_769","2021-11-23","alcorn_state_lady_braves","31","10","26","8","6","4","12","2","13","16","0","16","9","1","28","48","64","3","TRUE",NA,NA,"343","0","413","away","-1","415"
"1538","game_2022_769","2021-11-23","central_arkansas_sugar_bears","31","17","9","3","31","21","14","2","9","27","0","30","11","0","12","64","48","16","FALSE",NA,"3","343","0","0","home","1","0"
"1545","game_2022_773","2021-11-23","binghamton_bearcats","39","22","21","13","28","21","26","3","14","16","1","33","11","0","23","104","45","59","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1546","game_2022_773","2021-11-23","mansfield_mountaineers","38","11","13","2","28","17","4","1","8","25","2","16","10","0","18","45","104","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1567","game_2022_784","2021-11-23","western_illinois_leathernecks","36","19","34","17","17","14","27","2","11","11","0","42","12","0","9","103","43","60","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1568","game_2022_784","2021-11-23","missouri_baptist_spartans","36","12","30","5","4","4","9","4","8","16","0","24","7","0","13","43","103","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1569","game_2022_785","2021-11-23","north_dakota_state_bison","33","21","26","9","33","26","15","5","21","14","0","23","15","0","11","95","42","54","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1570","game_2022_785","2021-11-23","dickinson_state_nd_blue_hawks","24","14","20","2","10","8","8","0","4","29","1","17","6","0","24","42","95","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1593","game_2022_797","2021-11-23","arkansas_state_red_wolves","63","32","18","5","25","16","18","6","25","11","0","31","20","0","16","95","49","47","FALSE",NA,"1",NA,NA,NA,"home","0",NA
"1594","game_2022_797","2021-11-23","university_of_the_ozarks_eagles","38","17","18","2","11","9","11","2","4","31","0","28","7","0","14","49","95","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1595","game_2022_798","2021-11-23","towson_tigers","47","22","22","7","42","30","14","4","18","16","0","30","21","4","26","95","46","51","FALSE",NA,"8",NA,NA,NA,"home","0",NA
"1596","game_2022_798","2021-11-23","millersville_marauders","34","7","13","2","30","26","4","0","5","28","1","18","4","0","28","46","95","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1615","game_2022_808","2021-11-23","western_michigan_broncos","50","32","26","10","12","11","30","1","31","13","0","22","16","0","16","105","29","76","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1616","game_2022_808","2021-11-23","olivet_comets","26","8","10","3","12","4","8","1","5","41","0","18","5","0","11","29","105","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1623","game_2022_812","2021-11-23","colorado_mesa_mavericks","41","10","25","9","6","3","15","2","7","16","1","24","20","1","10","50","62","10","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"1624","game_2022_812","2021-11-23","utah_valley_wolverines","43","18","22","7","5","5","19","6","8","14","1","27","14","0","12","62","50","19","FALSE",NA,"3",NA,NA,NA,"home","0",NA
"1677","game_2022_839","2021-11-24","lees_mcrae_bobcats","32","10","14","3","14","10","9","0","11","25","3","19","6","0","17","39","95","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
